Date,Close,Return,RealizedVol,VIX,HY_OAS,GPR,CESI,PMI_change,PutCall,HHI,MeanCorr,f_bur,f_cat,f_sent,f_mac,f_liq,C_norm
2019-08-05,2844.73999,-0.03023018,0.13259119,24.59000015,4.53,103.5177383,-36.7,-0.5,0.84,0.10913609,0.30265258,-0.99587911,-0.06618812,0.92662346,-0.69267567,-0.36669324,0.32717301
2019-08-06,2881.77002,0.01293302,0.14236476,20.17000008,4.46,270.9353332,-35.2,-0.5,0.78,0.10928489,0.54599453,-0.99563069,0.98733649,0.83157775,-0.67346399,-0.38886449,0.58184339
2019-08-07,2883.97998,0.00076658,0.14225909,19.48999977,4.52,106.0021744,-33.5,-0.5,0.78,0.10923365,0.58355658,-0.99568229,-0.02810572,0.83149787,-0.65055578,-0.36982045,0.62115408
2019-08-08,2938.090088,0.01858846,0.15738054,16.90999985,4.31,144.6332398,-31.6,-0.5,0.62,0.10907272,0.5725448,-0.99589407,0.51558972,0.01894843,-0.62349349,-0.4348779,0.60962967
2019-08-09,2918.649902,-0.00663859,0.15815197,17.96999931,4.31,105.861023,-30.9,-0.5,0.68,0.10918771,0.6448416,-0.99569835,-0.0303665,0.4293902,-0.61307526,-0.43483749,0.68529214
2019-08-12,2882.699951,-0.01239381,0.16107756,21.09000015,4.4,151.521225,-26.8,-0.5,0.78,0.1091561,0.66849085,-0.99571947,0.58957712,0.83145055,-0.54812601,-0.40739469,0.71004235
2019-08-13,2926.320068,0.01501835,0.17160218,17.52000046,4.25,40.67272568,-19.8,-0.5,0.66,0.10927915,0.67654072,-0.99550363,-0.77805916,0.30237378,-0.42046531,-0.45259965,0.71846697
2019-08-14,2840.600098,-0.02973035,0.19770335,22.10000038,4.49,105.7713928,-19.9,-0.5,0.84,0.10922629,0.68563775,-0.99555927,-0.03170392,0.92646623,-0.42237837,-0.37914735,0.7279875
2019-08-15,2847.600098,0.00246124,0.19793508,21.18000031,4.52,96.88568878,-12.7,-0.5,0.98,0.10914778,0.74604828,-0.99565315,-0.16778616,0.9902507,-0.27139087,-0.36956224,0.79121034
2019-08-16,2888.679932,0.01432306,0.20527549,18.46999931,4.47,104.607399,-17.6,-0.5,0.67,0.1091887,0.74164215,-0.99556361,-0.04968691,0.36655788,-0.37609352,-0.38540286,0.78659909
2019-08-19,2923.649902,0.01203318,0.2099306,16.87999916,4.36,127.8534927,-13.3,-0.5,0.55,0.10911396,0.77663978,-0.99565149,0.30089091,-0.45861539,-0.28453633,-0.41949516,0.82322599
2019-08-20,2900.51001,-0.00794622,0.21086553,17.5,4.35,76.67980194,-10.9,-0.5,0.69,0.10914269,0.78997552,-0.99558084,-0.44829461,0.48628676,-0.23092851,-0.42250317,0.83718255
2019-08-21,2924.429932,0.00821298,0.21159897,15.80000019,4.21,114.390831,-10.1,-0.5,0.6,0.10920711,0.80155885,-0.99545316,0.10156352,-0.12822098,-0.21270593,-0.46410812,0.84930514
2019-08-22,2922.949951,-0.0005062,0.21051264,16.68000031,4.16,147.9677277,-14.2,-0.5,0.74,0.109118,0.80753573,-0.99556547,0.55273531,0.71528551,-0.30412836,-0.47846937,0.85556025
2019-08-23,2847.110107,-0.02628888,0.22712962,19.87000084,4.25,96.78153229,-16.6,-0.5,0.88,0.10907298,0.80510264,-0.99560784,-0.16945601,0.95829791,-0.35525359,-0.45231326,0.85301389
2019-08-26,2878.379883,0.01092311,0.22941191,19.31999969,4.22,121.1914978,-16.3,-0.5,0.58,0.10909974,0.84056111,-0.99553982,0.20435387,-0.26924827,-0.34892063,-0.46106583,0.89012309
2019-08-27,2869.159912,-0.00320832,0.22941152,20.30999947,4.19,178.095047,-13.7,-0.5,0.64,0.10897905,0.84619375,-0.99569687,0.79663994,0.16253228,-0.29309107,-0.46972887,0.89601795
2019-08-28,2887.939941,0.00652415,0.23150725,19.35000038,4.17,83.47319031,-12.6,-0.5,0.64,0.10911259,0.8602584,-0.99546526,-0.36059897,0.16251764,-0.26880765,-0.4754395,0.91073735
2019-08-29,2924.580078,0.01260748,0.23442679,17.87999916,4.08,76.37043762,-11.6,-0.5,0.66,0.10906037,0.85774997,-0.99551984,-0.4523521,0.30103113,-0.24642821,-0.50079071,0.90811214
